identifier,smiles
CNP0067647.1,O=C(OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC[C@H]4O[C@@H](OC[C@H]5O[C@@H](OC6=CC(O)=C7C(=C6)O[C@H](C6=CC=C(O)C(O)=C6)[C@@H](O)[C@@H]7C6=C(O)C=C(O)C7=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@H](O)[C@H]7C6=C(O)C=C(O)C7=C6O[C@H](C6=CC=C(O)C(O)=C6)[C@@H](O)[C@@H]7C6=C(O)C=C(O)C7=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@H](O)[C@H]7C6=C(O)C=C(O)C7=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@H](O)[C@H]7C6=C(O)C=C(O)C7=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@H](O)C7)[C@H](O)[C@@H](O)[C@@H]5O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(O)=C1
CNP0072827.1,C[C@H]1CC/C(O)=C2/C(=O)O[C@]34C[C@H](C)[C@@](C)(OC3=O)[C@@H](O)[C@@H]4[C@@H]2CC(=O)O1
CNP0076012.1,COC(=O)[C@H]1/N=C(/O)[C@H]2/N=C(\O)[C@H](/N=C(\O)[C@H]3/N=C(\O)[C@@H]4/N=C(\O)[C@@H](/N=C(\O)[C@@H](N)C5=CC=C(O)C(=C5)OC5=CC4=CC(O)=C5C)[C@H](O)C4=CC=C(C=C4)OC4=CC3=CC(=C4O[C@@H]3O[C@H](CO[C@H]4O[C@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3CO[C@@H](O)[C@H](O)[C@@H]3O)OC3=CC=C(C=C3)[C@H]2O[C@@H]2C[C@@H](N)[C@H](O)[C@@H](C)O2)C2=CC(=C(O)C=C2)C2=C(O[C@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)C=C(O)C=C21
CNP0076532.2,CC1=C2[C@@H](OC1=O)[C@H](O)[C@@]13[C@H]4C[C@@H](C(C)(C)C)[C@]15[C@@H](OC(=O)[C@@H]5O)O[C@]23C(=O)O4
CNP0077631.1,C=CCC/C=C/C=C/C=C/CC/C=C/[C@H](O)[C@@H](O)[C@H]1O[C@@H]([C@@H](O)[C@@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@H](O)[C@@H]([C@@H](O)[C@@H](O)/C=C(\C)CC[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](C)C[C@H](O)[C@H](O)CCCCC[C@H](O)CCC[C@@H](O)/C=C/C[C@@H](O)/C=C/C[C@H](O)CO)O2)C[C@@H](O)[C@@H]1O
CNP0078580.1,CCO[C@H]1OC[C@]23CCC[C@]1(C)[C@@H]2CC[C@]1(C)[C@@H]3CC[C@](C)(O)[C@H]1CC1=CC(O)=CC=C1O
CNP0078697.1,CCO[C@H]1OC[C@]23CCC[C@]1(C)[C@@H]2CC[C@]1(C)[C@@H]3CC[C@]2(C)OC3=CC=C(O)C=C3C[C@@H]12
CNP0081224.1,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C(OC)=C3)(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2OC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O
CNP0081228.1,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C=C3)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(C)=O)[C@@H](O)[C@@H]2OC(=O)/C=C/C2=CC=C(O)C=C2)=CC=C1O
CNP0299807.1,COC1=CC(C=CC(=O)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC=C1O
